recorded_at,open_price,high_price,low_price,close_price,volume,rolling_mean,rolling_std,z_score,position,market_return,position_lag,gross_return,turnover,strategy_return,equity
2026-08-12 14:45:00,1318.0,1318.5,1317.3,1318.3,199590,1315.375,1.3517532474877165,2.163856462291602,-1,0.0005312689738918852,-1.0,-0.0005312689738918852,0.0,-0.0005312689738918852,99182.67163122736
2026-08-12 14:50:00,1318.9,1322.9,1318.3,1322.9,264239,1315.775,2.1511013091190265,3.312256828534966,-1,0.0034893423348252295,-1.0,-0.0034893423348252295,0.0,-0.0034893423348252295,98836.58933622345
2026-08-12 14:55:00,1322.9,1323.5,1320.5,1321.2,270547,1316.0349999999999,2.4703025597749004,2.0908370027640815,-1,-0.0012850555597551105,-1.0,0.0012850555597551105,0.0,0.0012850555597551105,98963.5998448572
2026-08-12 15:00:00,1321.2,1322.1,1321.2,1321.6,262117,1316.34,2.7603203475395617,1.9055759251597528,-1,0.0003027550711474092,-1.0,-0.0003027550711474092,0.0,-0.0003027550711474092,98933.63811314518
2026-08-12 15:05:00,1321.5,1321.6,1319.6,1320.1,273929,1316.565,2.8777321114466887,1.2283978713441623,-1,-0.0011349878934624469,-1.0,0.0011349878934624469,0.0,0.0011349878934624469,99045.92659465979
2026-08-12 15:10:00,1320.2,1320.7,1318.1,1320.5,311833,1316.83,2.987359333836808,1.2285097271129137,-1,0.00030300734792820805,-1.0,-0.00030300734792820805,0.0,-0.00030300734792820805,99015.91495111925
2026-08-12 15:15:00,1320.5,1329.0,1320.5,1329.0,357533,1317.5149999999999,4.012778929473953,2.862106336245573,-1,0.006436955698599034,-1.0,-0.006436955698599034,0.0,-0.006436955698599034,98378.55389312266
2026-08-13 09:15:00,1323.1,1323.1,1311.1,1315.4,0,1317.54,3.9971568843219973,-0.5353805371997207,-1,-0.0102332580887885,-1.0,0.0102332580887885,0.0,0.0102332580887885,99385.28702551276
2026-08-13 09:20:00,1315.0,1315.3,1312.4,1313.0,118323,1317.435,4.091103956016681,-1.0840594733549864,-1,-0.0018245400638590148,-1.0,0.0018245400638590148,0.0,0.0018245400638590148,99566.61946344895
2026-08-13 09:25:00,1312.2,1312.4,1310.1,1311.1,187463,1317.28,4.274723752230392,-1.4457074557801706,-1,-0.0014470677837015167,-1.0,0.0014470677837015167,0.0,0.0014470677837015167,99710.69911080657
2026-08-13 09:30:00,1311.3,1311.3,1307.4,1310.6,229748,1317.055,4.507593009226764,-1.4320281327056743,-1,-0.0003813591640606795,-1.0,0.0003813591640606795,0.0,0.0003813591640606795,99748.72469966736
2026-08-13 09:35:00,1310.7,1312.0,1310.3,1311.9,91967,1316.95,4.605888679321677,-1.0964225042329252,-1,0.0009919121013277632,-1.0,-0.0009919121013277632,0.0,-0.0009919121013277632,99649.78273254576
2026-08-13 09:40:00,1312.0,1313.1,1311.0,1312.6,112870,1316.845,4.683169754275008,-0.9064373539150682,-1,0.0005335772543637596,-1.0,-0.0005335772543637596,0.0,-0.0005335772543637596,99596.61187507737
2026-08-13 09:45:00,1312.6,1315.0,1312.2,1314.5,86232,1316.875,4.665198703952092,-0.5090887121245306,-1,0.0014475087612373372,-1.0,-0.0014475087612373372,0.0,-0.0014475087612373372,99452.44490679866
2026-08-13 09:50:00,1314.7,1315.0,1313.1,1314.4,48947,1316.9,4.649731175023765,-0.5376654920243259,-1,-7.607455306191113e-05,-1.0,7.607455306191113e-05,0.0,7.607455306191113e-05,99460.01070709586
2026-08-13 09:55:00,1314.3,1314.5,1313.5,1314.5,42542,1316.9199999999998,4.637898798286327,-0.5217880133335423,-1,7.608034083994575e-05,-1.0,-7.608034083994575e-05,0.0,-7.608034083994575e-05,99452.44375558132
2026-08-13 10:00:00,1314.5,1314.5,1313.2,1313.6,51820,1316.8899999999999,4.658314581136616,-0.7062640237571102,-1,-0.0006846709775580884,-1.0,0.0006846709775580884,0.0,0.0006846709775580884,99520.53595746799
2026-08-13 10:05:00,1313.6,1314.2,1313.1,1313.2,45549,1316.675,4.727397748621539,-0.7350767134018253,-1,-0.0003045066991472778,-1.0,0.0003045066991472778,0.0,0.0003045066991472778,99550.84062736979
2026-08-13 10:10:00,1313.5,1314.1,1312.4,1313.7,67693,1316.4850000000001,4.768677958687486,-0.584019307683888,-1,0.00038074931465126305,-1.0,-0.00038074931465126305,0.0,-0.00038074931465126305,99512.93671302796
2026-08-13 10:15:00,1313.7,1314.0,1313.0,1313.2,31554,1316.2649999999999,4.815793643942826,-0.6364475362965147,-1,-0.00038060439978682137,-1.0,0.00038060439978682137,0.0,0.00038060439978682137,99550.81177457665
